Name,Link,Aliases
Boris the Bewildered,/wiki/Boris_the_Bewildered,['Boris']
Wilhelmina Grubbly-Plank,/wiki/Wilhelmina_Grubbly-Plank,"['Professor Grubbly-Plank', 'Wilhelmina']"
Care of Magical Creatures,/wiki/Care_of_Magical_Creatures,[]
Ludovic Bagman's goblin creditors,/wiki/Ludovic_Bagman%27s_goblin_creditors,[]
Bertha Jorkins's second cousin,/wiki/Bertha_Jorkins%27s_second_cousin,[]
Bertha Jorkins's aunt,/wiki/Bertha_Jorkins%27s_aunt,[]
Aberforth Dumbledore,/wiki/Aberforth_Dumbledore,['Aberforth']
Olive Hornby's brother,/wiki/Olive_Hornby%27s_brother,[]
Unicorn,/wiki/Unicorn,[]
Black Lake,/wiki/Great_Lake,['Black']
Black Lake Merpeople colony,/wiki/Great_Lake_Merpeople_colony,['Black']
Gabrielle Delacour,/wiki/Gabrielle_Delacour,['Gabrielle']
Murcus,/wiki/Murcus,[]
Evan Rosier,/wiki/Evan_Rosier,"['Rosier', 'Evan']"
Wilkes,/wiki/Wilkes,[]
Bellatrix Lestrange,/wiki/Bellatrix_Lestrange,['Bellatrix']
Rodolphus Lestrange,/wiki/Rodolphus_Lestrange,['Rodolphus']
Care of Magical Creatures,/wiki/Care_of_Magical_Creatures,[]
Mrs Fudge,/wiki/Cornelius_Fudge%27s_wife,['Mrs. Fudge']
Andorran Minister of Magic,/wiki/Andorran_Ministry_of_Magic,['Andorran']
Antonin Dolohov,/wiki/Antonin_Dolohov,"['Dolohov', 'Antonin']"
Travers,/wiki/Travers,[]
Augustus Rookwood,/wiki/Augustus_Rookwood,"['Augustus', 'Rookwood']"
Ludovic Bagman's father,/wiki/Ludovic_Bagman%27s_father,[]
Unidentified female Council of Magical Law juror,/wiki/Unidentified_female_Council_of_Magical_Law_juror,[]
Rabastan Lestrange,/wiki/Rabastan_Lestrange,['Rabastan']
Frank Longbottom,/wiki/Frank_Longbottom,[]
Alice Longbottom,/wiki/Alice_Longbottom,"[""Frank Longbottom's wife"", 'Alice']"
Florence,/wiki/Florence,[]
Florence's boyfriend,/wiki/Florence%27s_boyfriend,[]
Apolline Delacour,/wiki/Apolline_Delacour,['Apolline']
Mrs Diggory,/wiki/Cedric_Diggory%27s_mother,['Mrs. Diggory']
Mr Krum,/wiki/Viktor_Krum%27s_father,['Mr. Krum']
Mrs Krum,/wiki/Viktor_Krum%27s_mother,['Mrs. Krum']
